item_title,orders_containing,units_sold,avg_price,classification,reason,classification_v3,v3_reason,was_mystery
Deep Sea Compression Socks,8303,8779,26.69,PATTERN,matched: ['sea'],PATTERN,unchanged from v2,
Celestial Moon Compression Socks,8245,8648,27.86,PATTERN,"matched: ['celestial', 'moon']",PATTERN,unchanged from v2,
Flower Friends Compression Socks,8026,8471,29.14,PATTERN,matched: ['flower'],PATTERN,unchanged from v2,
Snoopy Love Compression Socks,7956,8429,29.19,PATTERN,"matched: ['snoopy', 'love']",PATTERN,unchanged from v2,
ShipInsure Package Protection,8350,8420,1.32,PATTERN,"unrecognized non-color tokens: ['shipinsure', 'package', 'protection']",PATTERN,unchanged from v2,
Water Lily Ankle Compression Socks,7379,7895,27.17,PATTERN,"matched: ['water', 'lily']",PATTERN,unchanged from v2,
Orcas Ankle Compression Socks,7050,7883,25.8,PATTERN,unrecognized non-color tokens: ['orcas'],PATTERN,unchanged from v2,
Deep Sea Ankle Compression Socks,7133,7776,26.68,PATTERN,matched: ['sea'],PATTERN,unchanged from v2,
Snoopy Sox EasyStretch™ Socks,7113,7764,28.44,PATTERN,matched: ['snoopy'],PATTERN,unchanged from v2,
Paws n Bones Ankle Compression Socks,7041,7651,28.09,PATTERN,"matched: ['paws', 'bones']",PATTERN,unchanged from v2,
Water Lily EasyStretch™  Socks,6989,7458,27.92,PATTERN,"matched: ['water', 'lily']",PATTERN,unchanged from v2,
Sunny Days Ankle Compression Socks,7050,7434,27.2,PATTERN,matched: ['sunny'],PATTERN,unchanged from v2,
Cats Ankle Compression Socks,6539,7318,26.25,PATTERN,matched: ['cats'],PATTERN,unchanged from v2,
Wildflower Ankle Compression Socks,6914,7279,27.26,PATTERN,unrecognized non-color tokens: ['wildflower'],PATTERN,unchanged from v2,
The Gang Compression Socks,6833,7256,28.91,PATTERN,unrecognized non-color tokens: ['gang'],PATTERN,unchanged from v2,
Woodstocks Compression Socks,6861,7190,29.28,PATTERN,unrecognized non-color tokens: ['woodstocks'],PATTERN,unchanged from v2,
Wildflower Compression Socks,6829,7103,27.34,PATTERN,unrecognized non-color tokens: ['wildflower'],PATTERN,unchanged from v2,
Tan EasyStretch™ Socks,4979,7072,28.71,SOLID,"only color+type tokens: ['tan', 'easystretch', 'socks']",SOLID,unchanged from v2,
Jellyfish Blues Ankle Compression Socks,6411,6857,27.89,PATTERN,matched: ['jellyfish'],PATTERN,unchanged from v2,
Bouquet Ankle Compression Socks,6391,6836,27.22,PATTERN,unrecognized non-color tokens: ['bouquet'],PATTERN,unchanged from v2,
Cats in Boxes Ankle Compression Socks,6127,6688,28.57,PATTERN,matched: ['cats'],PATTERN,unchanged from v2,
Beagle Ballet Compression Socks,6265,6616,28.57,PATTERN,"unrecognized non-color tokens: ['beagle', 'ballet']",PATTERN,unchanged from v2,
Pastel Pond Compression Socks,6170,6385,27.2,PATTERN,"unrecognized non-color tokens: ['pastel', 'pond']",PATTERN,unchanged from v2,
Pastel Pond Ankle Compression Socks,5924,6214,27.14,PATTERN,"unrecognized non-color tokens: ['pastel', 'pond']",PATTERN,unchanged from v2,
Orcas Compression Socks,5696,6138,25.61,PATTERN,unrecognized non-color tokens: ['orcas'],PATTERN,unchanged from v2,
Bouquet Compression Socks,5720,5986,27.44,PATTERN,unrecognized non-color tokens: ['bouquet'],PATTERN,unchanged from v2,
Butterfly EasyStretch™ Socks,5288,5803,27.81,PATTERN,matched: ['butterfly'],PATTERN,unchanged from v2,
Flower Friends EasyStretch™ Socks,5251,5708,28.0,PATTERN,matched: ['flower'],PATTERN,unchanged from v2,
Spring Showers Ankle Compression Socks,5393,5695,26.8,PATTERN,matched: ['spring'],PATTERN,unchanged from v2,
Royal Purple EasyStretch™ Socks,4486,5536,28.37,SOLID,"only color+type tokens: ['royal', 'purple', 'easystretch', 'socks']",SOLID,unchanged from v2,
Snoopy Love EasyStretch™ Socks,5131,5489,28.05,PATTERN,"matched: ['snoopy', 'love']",PATTERN,unchanged from v2,
Snoopy Sox Ankle Compression Socks,4522,4998,28.57,PATTERN,matched: ['snoopy'],PATTERN,unchanged from v2,
Cats in Boxes EasyStretch™ Socks,4522,4877,27.47,PATTERN,matched: ['cats'],PATTERN,unchanged from v2,
Jellyfish Blues EasyStretch™ Socks,4490,4732,27.06,PATTERN,matched: ['jellyfish'],PATTERN,unchanged from v2,
Snoopy Love Ankle Compression Socks,4334,4716,28.54,PATTERN,"matched: ['snoopy', 'love']",PATTERN,unchanged from v2,
Flower Friends Ankle Compression Socks,4238,4563,28.54,PATTERN,matched: ['flower'],PATTERN,unchanged from v2,
Ankle Compression Socks | Bundle,1082,4530,28.81,AMBIGUOUS,bundle/offer — could be either,SOLID,color + type only,
Sunny Days EasyStretch™ Socks,4106,4330,28.16,PATTERN,matched: ['sunny'],PATTERN,unchanged from v2,
Woodstocks EasyStretch™ Socks,4054,4294,27.7,PATTERN,unrecognized non-color tokens: ['woodstocks'],PATTERN,unchanged from v2,
Gray Ankle Socks,3122,4266,27.42,SOLID,"only color+type tokens: ['gray', 'ankle', 'socks']",SOLID,unchanged from v2,
Paws n Bones EasyStretch™ Socks,3794,4061,27.88,PATTERN,"matched: ['paws', 'bones']",PATTERN,unchanged from v2,
Mystery Compression Socks,3071,3904,27.44,AMBIGUOUS,mystery — could be either,PATTERN,mystery grab-bag (no explicit theme),yes
The Gang EasyStretch™ Socks,3624,3904,27.98,PATTERN,unrecognized non-color tokens: ['gang'],PATTERN,unchanged from v2,
EasyStretch™ Socks,1360,3876,29.33,SOLID,"only color+type tokens: ['easystretch', 'socks']",SOLID,unchanged from v2,
Spring Showers Compression Socks,3601,3752,26.47,PATTERN,matched: ['spring'],PATTERN,unchanged from v2,
Navy Blue Ankle Socks,2833,3741,28.29,SOLID,"only color+type tokens: ['navy', 'blue', 'ankle', 'socks']",SOLID,unchanged from v2,
Star & Moon EasyStretch™ Socks,3382,3670,27.77,PATTERN,"matched: ['star', 'moon']",PATTERN,unchanged from v2,
Black EasyStretch™ Socks Bundle 5-Pack,3321,3610,55.24,AMBIGUOUS,bundle/offer — could be either,SOLID,color + type only,
Cherry Blossoms EasyStretch™ Socks,3383,3576,27.83,PATTERN,"matched: ['cherry', 'blossoms']",PATTERN,unchanged from v2,
Night Nature EasyStretch™ Socks Bundle 5-Pack,3380,3492,56.67,AMBIGUOUS,bundle/offer — could be either,PATTERN,"design/theme token(s): ['night', 'nature']",
Cats EasyStretch™ Socks,3213,3463,27.47,PATTERN,matched: ['cats'],PATTERN,unchanged from v2,
Floral EasyStretch™ Socks,3212,3408,27.88,PATTERN,matched: ['floral'],PATTERN,unchanged from v2,
Compression Socks,1295,3403,29.63,SOLID,"only color+type tokens: ['compression', 'socks']",SOLID,unchanged from v2,
Purple Moon Ankle Socks,2991,3386,27.48,PATTERN,matched: ['moon'],PATTERN,unchanged from v2,
Dogs EasyStretch™ Socks,2949,3239,27.59,PATTERN,matched: ['dogs'],PATTERN,unchanged from v2,
Camo EasyStretch™  Socks,2431,3200,27.28,PATTERN,matched: ['camo'],PATTERN,unchanged from v2,
Northern Lights Ankle Socks,2709,3134,27.26,PATTERN,"matched: ['northern', 'lights']",PATTERN,unchanged from v2,
Beagle Ballet Ankle Compression Socks,2907,3107,27.99,PATTERN,"unrecognized non-color tokens: ['beagle', 'ballet']",PATTERN,unchanged from v2,
Celestial Moon EasyStretch™ Socks,2895,3073,27.84,PATTERN,"matched: ['celestial', 'moon']",PATTERN,unchanged from v2,
Beagle Ballet EasyStretch™ Socks,2834,3027,27.83,PATTERN,"unrecognized non-color tokens: ['beagle', 'ballet']",PATTERN,unchanged from v2,
The Gang Ankle Compression Socks,2789,2995,28.91,PATTERN,unrecognized non-color tokens: ['gang'],PATTERN,unchanged from v2,
Compression Socks | Bundle,634,2944,26.68,AMBIGUOUS,bundle/offer — could be either,SOLID,color + type only,
Deep Sea EasyStretch™ Socks,2696,2869,27.5,PATTERN,matched: ['sea'],PATTERN,unchanged from v2,
Wildflower EasyStretch™  Socks,2608,2737,28.29,PATTERN,unrecognized non-color tokens: ['wildflower'],PATTERN,unchanged from v2,
Ruff Life EasyStretch™ Socks,2421,2638,27.5,PATTERN,"unrecognized non-color tokens: ['ruff', 'life']",PATTERN,unchanged from v2,
Solid Essentials Compression Socks Bundle 5-Pack,2406,2496,56.32,AMBIGUOUS,bundle/offer — could be either,SOLID,color + type only,
Camo Compression Socks,2003,2456,27.88,PATTERN,matched: ['camo'],PATTERN,unchanged from v2,
Woodstocks Ankle Compression Socks,2304,2427,28.86,PATTERN,unrecognized non-color tokens: ['woodstocks'],PATTERN,unchanged from v2,
Black Compression Socks Bundle 5-Pack,2278,2377,53.32,AMBIGUOUS,bundle/offer — could be either,SOLID,color + type only,
Bouquet EasyStretch™ Socks,2235,2350,28.37,PATTERN,unrecognized non-color tokens: ['bouquet'],PATTERN,unchanged from v2,
EasyStretch Buy 2 Get 4 Free Mystery Offer,2315,2347,59.97,AMBIGUOUS,mystery — could be either,PATTERN,mystery grab-bag (no explicit theme),yes
Cat Paws Ankle Compression Socks,2079,2186,27.2,PATTERN,"matched: ['cat', 'paws']",PATTERN,unchanged from v2,
Army Camo Ankle Compression Socks,1951,2179,28.11,PATTERN,matched: ['camo'],PATTERN,unchanged from v2,
White Ankle Compression Socks 5-Pack Bundle,2070,2135,54.32,AMBIGUOUS,bundle/offer — could be either,SOLID,color + type only,
Snoopy Sox Ankle Socks,1880,2087,27.83,PATTERN,matched: ['snoopy'],PATTERN,unchanged from v2,
Pastel Pond EasyStretch™  Socks,2010,2076,28.2,PATTERN,"unrecognized non-color tokens: ['pastel', 'pond']",PATTERN,unchanged from v2,
Ruff Life Ankle Compression Socks,1918,2042,29.35,PATTERN,"unrecognized non-color tokens: ['ruff', 'life']",PATTERN,unchanged from v2,
Camo Ankle Compression Socks,1732,2010,29.36,PATTERN,matched: ['camo'],PATTERN,unchanged from v2,
Water Lily Ankle Socks,1838,1998,27.36,PATTERN,"matched: ['water', 'lily']",PATTERN,unchanged from v2,
Solid Essentials Ankle Compression Socks 5-Pack Bundle,1885,1943,57.46,AMBIGUOUS,bundle/offer — could be either,SOLID,color + type only,
Orcas EasyStretch™ Socks,1829,1943,26.7,PATTERN,unrecognized non-color tokens: ['orcas'],PATTERN,unchanged from v2,
Butterfly Ankle Socks,1727,1929,27.16,PATTERN,matched: ['butterfly'],PATTERN,unchanged from v2,
Flower Friends Ankle Socks,1756,1898,27.96,PATTERN,matched: ['flower'],PATTERN,unchanged from v2,
Cat Paws EasyStretch™ Socks,1785,1892,27.36,PATTERN,"matched: ['cat', 'paws']",PATTERN,unchanged from v2,
Black Ankle Compression Socks 5-Pack Bundle,1835,1887,51.88,AMBIGUOUS,bundle/offer — could be either,SOLID,color + type only,
Snoopy Love Ankle Socks,1736,1881,27.39,PATTERN,"matched: ['snoopy', 'love']",PATTERN,unchanged from v2,
Night Nature Compression Socks Bundle 5-Pack,1820,1854,56.76,AMBIGUOUS,bundle/offer — could be either,PATTERN,"design/theme token(s): ['night', 'nature']",
Ankle Buy 1 Get 2 Free Mystery Offer,1718,1731,29.0,AMBIGUOUS,mystery — could be either,PATTERN,mystery grab-bag (no explicit theme),yes
Cat Paws Compression Socks,1681,1729,27.53,PATTERN,"matched: ['cat', 'paws']",PATTERN,unchanged from v2,
Royal Purple Ankle Socks,1357,1624,27.61,SOLID,"only color+type tokens: ['royal', 'purple', 'ankle', 'socks']",SOLID,unchanged from v2,
Pet Garden Compression Socks Bundle 5-Pack,1496,1520,55.09,AMBIGUOUS,bundle/offer — could be either,PATTERN,"design/theme token(s): ['pet', 'garden']",
Mystery EasyStretch™ Socks,1134,1520,29.74,AMBIGUOUS,mystery — could be either,PATTERN,mystery grab-bag (no explicit theme),yes
Viasox Laundry Bag Gift,1485,1498,9.07,PATTERN,"unrecognized non-color tokens: ['viasox', 'laundry', 'bag']",PATTERN,unchanged from v2,
Ankle Buy 2 Get 4 Free Mystery Offer,1475,1475,59.97,AMBIGUOUS,mystery — could be either,PATTERN,mystery grab-bag (no explicit theme),yes
Desert Camo Ankle Compression Socks,1374,1470,27.89,PATTERN,"matched: ['desert', 'camo']",PATTERN,unchanged from v2,
Tan Ankle Socks,1106,1438,27.88,SOLID,"only color+type tokens: ['tan', 'ankle', 'socks']",SOLID,unchanged from v2,
Sunny Days Ankle Socks,1343,1416,27.54,PATTERN,matched: ['sunny'],PATTERN,unchanged from v2,
Dark & Delicate Ankle Compression Socks 5-Pack Bundle,1392,1410,52.34,AMBIGUOUS,bundle/offer — could be either,PATTERN,"design/theme token(s): ['dark', 'delicate']",
Star & Moon Compression Socks,1327,1404,28.27,PATTERN,"matched: ['star', 'moon']",PATTERN,unchanged from v2,
Spring Showers EasyStretch™ Socks,1299,1341,28.23,PATTERN,matched: ['spring'],PATTERN,unchanged from v2,
Winter Peanuts EasyStretch™ Socks 5-Pack Bundle,1272,1321,57.01,PATTERN,"matched: ['winter', 'peanuts']",PATTERN,unchanged from v2,
Live Laugh Snoopy EasyStretch™ Socks Bundle 3-Pack,1281,1320,42.04,PATTERN,matched: ['snoopy'],PATTERN,unchanged from v2,
Compression Buy 2 Get 4 Free Mystery Offer,1273,1288,59.92,AMBIGUOUS,mystery — could be either,PATTERN,mystery grab-bag (no explicit theme),yes
Paws n Bones Ankle Socks,1181,1287,27.13,PATTERN,"matched: ['paws', 'bones']",PATTERN,unchanged from v2,
Solid Essentials EasyStretch™ Socks Bundle 5-Pack,1227,1281,56.05,AMBIGUOUS,bundle/offer — could be either,SOLID,color + type only,
Cats in Boxes Ankle Socks,1149,1248,27.12,PATTERN,matched: ['cats'],PATTERN,unchanged from v2,
Star & Moon Ankle Compression Socks,1148,1242,28.85,PATTERN,"matched: ['star', 'moon']",PATTERN,unchanged from v2,
Heather Gray EasyStretch™ Socks,952,1193,28.62,PATTERN,unrecognized non-color tokens: ['heather'],PATTERN,unchanged from v2,
Christmas Forest EasyStretch™ Socks,1048,1193,28.57,PATTERN,"matched: ['christmas', 'forest']",PATTERN,unchanged from v2,
Night Nature Ankle Compression Socks 5-Pack Bundle,1160,1179,56.84,AMBIGUOUS,bundle/offer — could be either,PATTERN,"design/theme token(s): ['night', 'nature']",
Penguin Pals EasyStretch™ Socks,1065,1145,28.47,PATTERN,matched: ['penguin'],PATTERN,unchanged from v2,
Deer Dance EasyStretch™ Socks,1043,1133,28.54,PATTERN,"unrecognized non-color tokens: ['deer', 'dance']",PATTERN,unchanged from v2,
Snowballs EasyStretch™ Socks,1025,1131,28.62,PATTERN,unrecognized non-color tokens: ['snowballs'],PATTERN,unchanged from v2,
Ruff Life Compression Socks,1041,1130,28.73,PATTERN,"unrecognized non-color tokens: ['ruff', 'life']",PATTERN,unchanged from v2,
Blooming Brights Ankle Compression Socks 5-Pack Bundle,1100,1122,50.94,AMBIGUOUS,bundle/offer — could be either,PATTERN,"design/theme token(s): ['blooming', 'brights']",
Sweater Weather EasyStretch™ Socks,1026,1120,28.59,PATTERN,"unrecognized non-color tokens: ['sweater', 'weather']",PATTERN,unchanged from v2,
Knitty Kitty EasyStretch™ Socks,983,1097,28.74,PATTERN,"unrecognized non-color tokens: ['knitty', 'kitty']",PATTERN,unchanged from v2,
Teddys EasyStretch™ Socks,980,1088,28.56,PATTERN,unrecognized non-color tokens: ['teddys'],PATTERN,unchanged from v2,
Amethyst Purple EasyStretch™ Socks,1018,1088,27.83,PATTERN,unrecognized non-color tokens: ['amethyst'],PATTERN,unchanged from v2,
Celestial Moon Ankle Socks,1012,1087,27.98,PATTERN,"matched: ['celestial', 'moon']",PATTERN,unchanged from v2,
Army Camo EasyStretch™ Socks,898,1081,26.87,PATTERN,matched: ['camo'],PATTERN,unchanged from v2,
Beagle Ballet Ankle Socks,1011,1067,26.8,PATTERN,"unrecognized non-color tokens: ['beagle', 'ballet']",PATTERN,unchanged from v2,
Cherry Blossoms Ankle Socks,979,1062,26.64,PATTERN,"matched: ['cherry', 'blossoms']",PATTERN,unchanged from v2,
Woodstocks Ankle Socks,995,1061,27.87,PATTERN,unrecognized non-color tokens: ['woodstocks'],PATTERN,unchanged from v2,
Sapphire Sky EasyStretch™ Socks,954,1060,27.06,PATTERN,unrecognized non-color tokens: ['sapphire'],PATTERN,unchanged from v2,
Pet Garden Ankle Compression Socks 5-Pack Bundle,1022,1039,53.64,AMBIGUOUS,bundle/offer — could be either,PATTERN,"design/theme token(s): ['pet', 'garden']",
Night Blooms EasyStretch™ Socks,948,1029,27.34,PATTERN,"unrecognized non-color tokens: ['night', 'blooms']",PATTERN,unchanged from v2,
Jade EasyStretch™ Socks,916,1028,26.95,PATTERN,unrecognized non-color tokens: ['jade'],PATTERN,unchanged from v2,
Dark & Delicate Compression Socks Bundle 5-Pack,1015,1024,52.02,AMBIGUOUS,bundle/offer — could be either,PATTERN,"design/theme token(s): ['dark', 'delicate']",
Sock Addict,1023,1024,22.43,PATTERN,unrecognized non-color tokens: ['addict'],PATTERN,unchanged from v2,
Floral Ankle Socks,926,1020,26.76,PATTERN,matched: ['floral'],PATTERN,unchanged from v2,
Black EasyStretch™ Socks Bundle 3-Pack,926,1004,41.06,AMBIGUOUS,bundle/offer — could be either,SOLID,color + type only,
Christmas Plaid EasyStretch™ Socks,891,998,28.67,PATTERN,"matched: ['christmas', 'plaid']",PATTERN,unchanged from v2,
Snow Homes EasyStretch™ Socks,925,982,28.5,PATTERN,matched: ['snow'],PATTERN,unchanged from v2,
Jellyfish Blues Ankle Socks,908,969,26.12,PATTERN,matched: ['jellyfish'],PATTERN,unchanged from v2,
Blue Beauty EasyStretch™ Socks,886,969,28.28,PATTERN,unrecognized non-color tokens: ['beauty'],PATTERN,unchanged from v2,
Live Laugh Snoopy Compression Socks Bundle 3-Pack,947,964,43.32,PATTERN,matched: ['snoopy'],PATTERN,unchanged from v2,
Heather Navy EasyStretch™ Socks,771,951,26.91,PATTERN,unrecognized non-color tokens: ['heather'],PATTERN,unchanged from v2,
Rainbow EasyStretch™ Socks,852,949,28.24,PATTERN,matched: ['rainbow'],PATTERN,unchanged from v2,
Grey Tartan EasyStretch™ Socks,876,944,28.67,PATTERN,unrecognized non-color tokens: ['tartan'],PATTERN,unchanged from v2,
Red Plaid EasyStretch™ Socks,842,934,28.44,PATTERN,matched: ['plaid'],PATTERN,unchanged from v2,
Dusk EasyStretch™ Socks,860,924,28.38,PATTERN,unrecognized non-color tokens: ['dusk'],PATTERN,unchanged from v2,
Rose Bouquet EasyStretch™ Socks,853,923,27.93,PATTERN,matched: ['rose'],PATTERN,unchanged from v2,
Classics Ankle Compression Socks Bundle 3-Pack,882,921,41.42,AMBIGUOUS,bundle/offer — could be either,SOLID,color + type only,
The Gang Ankle Socks,850,919,27.61,PATTERN,unrecognized non-color tokens: ['gang'],PATTERN,unchanged from v2,
Espresso EasyStretch™ Socks,663,906,27.82,PATTERN,unrecognized non-color tokens: ['espresso'],PATTERN,unchanged from v2,
Viasox Laundry Bag,752,903,9.01,PATTERN,"unrecognized non-color tokens: ['viasox', 'laundry', 'bag']",PATTERN,unchanged from v2,
Black Compression Socks Bundle 3-Pack,858,898,40.02,AMBIGUOUS,bundle/offer — could be either,SOLID,color + type only,
Crystal Garden EasyStretch™ Socks,855,898,27.57,PATTERN,matched: ['crystal'],PATTERN,unchanged from v2,
Penguin Pals Ankle Compression Socks,828,894,29.03,PATTERN,matched: ['penguin'],PATTERN,unchanged from v2,
Scotch Plaid EasyStretch™ Socks,809,890,28.75,PATTERN,matched: ['plaid'],PATTERN,unchanged from v2,
Green Plaid EasyStretch™ Socks,811,887,28.89,PATTERN,matched: ['plaid'],PATTERN,unchanged from v2,
Harmony EasyStretch™ Socks,819,886,28.11,PATTERN,unrecognized non-color tokens: ['harmony'],PATTERN,unchanged from v2,
Jade Ankle Compression Socks,832,884,27.64,PATTERN,unrecognized non-color tokens: ['jade'],PATTERN,unchanged from v2,
Black EasyStretch™ Gripper Socks,530,881,32.38,PATTERN,unrecognized non-color tokens: ['gripper'],PATTERN,unchanged from v2,
Harmony Ankle Compression Socks,785,879,27.59,PATTERN,unrecognized non-color tokens: ['harmony'],PATTERN,unchanged from v2,
Dark Lavender EasyStretch™ Socks,817,874,27.94,PATTERN,unrecognized non-color tokens: ['dark'],PATTERN,unchanged from v2,
Cats Ankle Socks,791,873,26.43,PATTERN,matched: ['cats'],PATTERN,unchanged from v2,
Crystal Garden Ankle Compression Socks,826,869,27.59,PATTERN,matched: ['crystal'],PATTERN,unchanged from v2,
Wildflower Ankle Socks,817,869,27.31,PATTERN,unrecognized non-color tokens: ['wildflower'],PATTERN,unchanged from v2,
Cobalt EasyStretch™ Socks,761,862,28.26,PATTERN,unrecognized non-color tokens: ['cobalt'],PATTERN,unchanged from v2,
Sweater Weather Ankle Compression Socks,810,860,28.97,PATTERN,"unrecognized non-color tokens: ['sweater', 'weather']",PATTERN,unchanged from v2,
Snowballs Ankle Compression Socks,792,858,29.03,PATTERN,unrecognized non-color tokens: ['snowballs'],PATTERN,unchanged from v2,
Fairy Dust Ankle Compression Socks,758,852,27.64,PATTERN,matched: ['fairy'],PATTERN,unchanged from v2,
Starry Cat EasyStretch™ Socks,733,851,28.21,PATTERN,matched: ['cat'],PATTERN,unchanged from v2,
Van Ghosts EasyStretch™ Socks,757,843,28.24,PATTERN,"unrecognized non-color tokens: ['van', 'ghosts']",PATTERN,unchanged from v2,
Christmas Forest Ankle Compression Socks,780,842,29.11,PATTERN,"matched: ['christmas', 'forest']",PATTERN,unchanged from v2,
Ski Trip Ankle Compression Socks,777,837,29.05,PATTERN,"unrecognized non-color tokens: ['ski', 'trip']",PATTERN,unchanged from v2,
